document_id,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat term ext
2021-13972,,"7,331,499",Alfred E,681,494,187,,,"September 6, 2019","the date the investigational device exemption (IDE) for human tests to begin, as required under section 520(g) of the FD&C Act, became effective October 27, 2017.
                

                    2. 
                    The date an application",434
2021-14461,,"9,084,765",Acacia Pharma Limited and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration,2960,2085,875,"January 21, 2012",,"February 26, 2020",the date the investigational new drug application became effective,1085
2021-14473,,,"Novartis AG, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",3064,2821,243,"May 20, 2011",,"October 7, 2019",the biologics license application (BLA) for BEOVU (BLA 761125),
2021-14482,,,Pulmonx Corp,5744,5565,179,,,"June 29, 2018",PMA 180002,
2021-14490,,,Novartis AG and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration,3264,3106,158,"June 18, 2010",,"May 24, 2019",the date the investigational new drug application became effective,
2021-14652,,"8,007,794","Teva Pharmaceuticals International GmbH, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",3216,2882,334,,,"September 14, 2018",the biologics license application (BLA) for AJOVY (BLA 761089),1454
2021-23074,,"8,975,254","Orion Corporation, and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration",586722576,2420,156,"July 13, 2012",,"July 30, 2019",the date the investigational new drug application became effective,879
2021-23388,,,"Impact Biomedicines, Inc",4285,4059,226,"November 24, 2007",,"August 16, 2019",,
2021-23387,,,Nabriva Therapeutics GMBH and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration,3595,3351,244,"October 17, 2009",,"August 19, 2019",the date the investigational new drug application became effective,
2021-23386,,,"Nabriva Therapeutics GMBH, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",3595,3351,244,"October 17, 2009",,"August 19, 2019",the date the investigational new drug application became effective,
2021-23719,,,,1891,1799,92,"October 22, 2011",,"December 23, 2016",,
2021-23725,,,"Daiichi Sankyo Company, Limited, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",1395,186,1209,"February 26, 2016",,"December 20, 2019",the date the investigational new drug application became effective,
2021-23724,,,"The University of Western Australia, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",531833,1474,359,,,"December 12, 2019",the new drug application (NDA) for VYONDYS 53 (NDA 211970),
2021-24070,,,"Novartis AG, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",3152,2968,184,"April 1, 2011",,"November 15, 2019",the date the investigational new drug application became effective,
2021-24074,,"8,334,265","Clinuvel Pharmaceuticals Limited, and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration",3914,3579,335,"January 21, 2009",,"October 8, 2019",the date the investigational new drug application became effective,1481
2021-24065,,"9,029,316",Laboratoire Francais du Fractionnement et des Biotechnologies S,2785,1518,1267,,,"April 1, 2020",the biologics license application (BLA) for SEVENFACT (BLA 125641),482
2021-24077,,,"Galderma Research & Development, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",3137,2771,366,,,"October 4, 2019",the new drug application (NDA) for AKLIEF (NDA 211527),
2021-24067,,"8,142,795","Sanofi Pasteur, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",5710,5466,244,"September 14, 2003",,"May 1, 2019",the date the investigational new drug application became effective,1248
2021-24068,,"8,487,093",Merck Sharp & Dohme Corp,3200,2957,243,"October 13, 2010",,"July 16, 2019",the date the investigational new drug application became effective,1218
2021-24435,,,Ultragenyx Pharmaceutical Inc,2511,2175,336,"August 17, 2013",,"June 30, 2020",,
2021-24978,,,Deciphera Pharmaceuticals LLC and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration,1741,1586,155,"August 11, 2015",,"May 15, 2020",,
2021-25297,,"8,440,715","JAZZ Pharmaceutials, Inc",8209,7664,545,,,"March 20, 2019, and that the Drug Enforcement Administration issued an interim final rule controlling the product on June 17, 2019",the new drug application (NDA) for SUNOSI (NDA 211230),1386
2021-25612,,"7,999,083","Immunomedics, Inc",2856,2150,706,"June 29, 2012",,"April 22, 2020",the date the investigational new drug application became effective,1780
2021-26009,,"7,763,615","Pharma Mar, S",4170,3987,183,,,"June 15, 2020",the new drug application (NDA) for ZEPZELCA (NDA 213702),1826
2022-00404,,,,1395,114,1281,,,,,
2022-13860,,"9,315,585","Memorial Sloan Kettering Cancer Center, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",3423,3183,240,"July 15, 2011",,"November 25, 2020",the date the investigational new drug application became effective,3421
2022-13856,,"8,168,615","ViiV Healthcare UK, and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration",5322,5110,212,,,"July 2, 2020",the new drug application (NDA) for RUKOBIA (NDA 212950),1597
2022-13956,,"7,572,897",Hoffman-La Roche Inc,2958,2760,198,,,"January 21, 2020",the biologics license application (BLA) for TEPEZZA (BLA 761143),1578
2022-14134,,,"RHYTHM PHARMACEUTICALS, INC",3304,3060,244,,,"November 25, 2020",the new drug application (NDA) for IMCIVREE (NDA 213793),
2022-14350,,"9,745,373","AlderBio Holdings LLC, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2599,2233,366,,,"February 21, 2020","the 
                    

      ( print page 40250)
    
                    biologics license application (BLA) for VYEPTI (BLA 761119)",637
2022-14357,,,"Xenocor, Inc",3806,3590,216,"March 3, 2010",,"July 31, 2020",the date the investigational new drug application became effective,
2022-14360,,"8,802,093","MacroGenics, Inc",3950,3585,365,,,"December 16, 2020",the biologics license application (BLA) for MARGENZA (BLA 761150),1342
2022-14430,,,Dr,4573,2797,1776,,,"July 24, 2020",the new drug application (NDA) for XEGLYZE (NDA 206966),
2022-14431,,,AbbVie and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration,2604,2365,239,"July 1, 2012",,"August 16, 2019",the date the investigational new drug application became effective,
2022-14539,,"8,323,653","Viela Bio, Inc",4033,3666,367,,,"June 11, 2020",the biologics license application (BLA) for UPLIZNA (BLA 761142),1557
2022-14548,,,"AGENSYS, Inc",2546,2389,157,,,"December 18, 2019",,
2022-14546,,,"Genentech, Inc",1968,1727,241,,,"August 15, 2019",,
2022-14674,,,Incyte Corp,4164,4015,149,"December 13, 2008",,"May 6, 2020",the date the investigational new drug application became effective,
2022-14930,,,"Genentech, Inc",2495,2128,367,,,"August 14, 2020",,
2022-14916,,"9,273,141","Glaxo Group Ltd, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2352,2107,245,"February 28, 2014",,"August 5, 2020",the date the investigational new drug application became effective,803
2022-15679,,"8,932,557","Eli Lilly and Company, and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration",3067,2825,242,"January 6, 2012",,"May 28, 2020",the date the investigational new drug application became effective,1102
2022-15823,,,"Alkermes Pharma Ireland Limited, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",1944,1623,321,,,"October 29, 2019",the new drug application (NDA) for VUMERITY (NDA 211855),
2022-16385,,"8,058,229; 8,343,933; 8,361,957",Acceleron Pharma Inc,3041,2822,219,,,"November 8, 2019",the date the investigational biologics license application became effective,
2022-16504,,,"Genentech, Inc",1968,1727,241,,,"August 15, 2019",,
2022-18753,,,"Allergan Sales LLC, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",534772883,2520,363,,,"December 23, 2019",NDA 211765,
2022-18754,,,TherOx Inc,7386,6824,562,,,"April 2, 2019",PMA P170027,
2022-19506,,,"Neurocrine Biosciences, Inc",5452,5117,335,"August 21, 2003",,"July 23, 2018",the date the investigational new drug application became effective,
2022-19714,,"7,423,050","Eli Lilly and Company, and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration",3097,2619,478,"August 11, 2011",,"October 11, 2019, and that the Drug Enforcement Administration issued an interim final rule controlling the product on January 31, 2020",the date the investigational new drug application became effective,1786
2022-19723,,,"Contura A/S, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",4529,3617,912,,,"January 28, 2020","the premarket approval application 
                    

      ( print page 56064)
    
                    (PMA) for BULKAMID URETHRAL BULKING SYSTEM (PMA P170023)",
2022-19898,,,"Intra-Cellular Therapies, Inc",4421,3970,451,"November 15, 2007",,"December 20, 2019",the date the investigational new drug application became effective,
2022-19993,,"7,449,458","Rigel Pharmaceuticals, Inc",4564,4198,366,,,"April 17, 2018","the date the investigational 
                    

      ( print page 56689)
    
                    new drug application became effective",
2022-20634,,,Biohaven Pharmaceutical Holding Company Ltd,3390,3144,246,,,"February 27, 2020",the new drug application (NDA) for NURTEC ODT (NDA 212728),
2022-24217,,,Kyowa Kirin Co,7300,2792,4508,,,"August 27, 2019",,
2022-24216,,"6,609,023","Angel Medical Systems, Inc",4037,2916,1121,,,"April 9, 2018","the date the investigational device exemption (IDE) for human tests to begin, as required under section 520(g) of the FD&C Act, became effective March 23, 2007.
                

                    2. 
                    The date an application",1827
2022-24457,,"7,598,279",SK Biopharmaceuticals Co,5326,4850,476,"August 12, 2005",,"November 21, 2019, and that the date of issuance of the interim final rule controlling the drug under section 201(j) of the Controlled Substances Act (21 U",the date the investigational new drug application became effective,
2022-24434,,"7,731,941","Kyushu University, National University Corporation, and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration",4631,4395,236,,,"December 20, 2019",NDA 209569,1375
2022-24431,,"7,335,799","Esperion Therapeutics, Inc",3774,3408,366,"October 24, 2009",,"February 21, 2020",the date the investigational new drug application became effective,1826
2022-24718,,RE46791,"AiCuris Anti-infective Cures GmbH, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",467912099393157,2911,246,,,"November 8, 2017",NDA 209939 for PREVYMIS,
2022-24719,,"8,513,255",AiCuris Anti-infective Cures GmbH and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration,2099403157,2911,246,,,"November 8, 2017",the NDA for PREVYMIS IV Solution (NDA 209940),894
2023-01220,,"9,827,251","Acacia Pharma Limited, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",4482,3931,551,"July 1, 2008",,"October 6, 2020",the date the investigational new drug application became effective,796
2023-02441,,"8,158,616",Eli Lilly and Co,3649,2781,868,"June 5, 2008",,"May 31, 2018",the date the investigational new drug application became effective,723
2023-02452,,,SARcode Bioscience Inc,2883,2380,503,"August 21, 2008",,"July 11, 2016",the date the investigational new drug application became effective,
2023-02482,,"7,638,536",Astellas Pharma Inc,4632,4389,243,,,"May 21, 2018",the new drug application (NDA) for DOPTELET (NDA 210238),1826
2023-02498,,,"Theravance Biopharma R&D IP, LLC and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",1724,1362,362,"February 21, 2014",,"November 9, 2018",the date the investigational new drug application became effective,
2023-02680,,,"Boehringer Ingelheim International GmbH, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",2582,2216,366,,,"April 23, 2019",the biologic license application (BLA) for SKYRIZI (BLA 761105),
2023-02667,,,ZS Pharma Inc,2384,1295,1089,,,"May 18, 2018",NDA 207078,
2023-02669,,"8,233,987","Respicardia, Inc",3685,3289,396,,,"October 6, 2017",the premarket approval application (PMA) for REMEDE SYSTEM (PMA 160039),301
2023-02745,,,Astellas Pharma Inc,2002,1757,245,"June 7, 2013",,"November 28, 2018",the date the investigational new drug application became effective,
2023-02743,,,"The Regents of the University of California, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",2795,2667,128,,,"February 14, 2018",the new drug application (NDA) for ERLEADA (NDA 210951),
2023-03070,,,Bayer Intellectual Property GmbH and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration,3004,2821,183,"June 26, 2009",,"September 14, 2017",the date the investigational new drug application became effective,
2023-04177,,"7,855,211","Eli Lilly and Company, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2907,2760,147,"October 15, 2009",,"September 28, 2017",the date the investigational new drug application became effective,652
2023-04178,,,Nicox S,3879,3043,836,"March 23, 2007",,"November 2, 2017",the date the investigational new drug application became effective,
2023-05570,,"7,632,921","Bayer HealthCare LLC, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2991,2626,365,"June 23, 2010",,"August 29, 2018",the date the investigational new drug application became effective,1677
2023-05641,,"9,005,281","AcuFocus, Inc",81341,827,514,,,"July 22, 2022","the date the investigational device exemption (IDE) for human tests to begin, as required under section 520(g) of the FD&C Act, became effective November 21, 2018.
                

                    2. 
                    The date an application",928
2023-05658,,"8,536,126","Novo Nordisk A/S, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",3129,2771,358,"July 29, 2010",,"February 19, 2019",the date the investigational new drug application became effective,1170
2023-05799,,,Shionogi & Co,3464,3246,218,"February 6, 2009",,"July 31, 2018",the date the investigational new drug application became effective,
2023-05897,,,"Amicus Therapeutics, Inc",5132,4891,241,"July 24, 2004",,"August 10, 2018",the date the investigational new drug application became effective,
2023-05906,,,"Ionis Pharmaceuticals, Inc",2158,1824,334,"November 9, 2012",,"October 5, 2018",the date the investigational new drug application became effective,
2023-05908,,"8,367,353","Ventana Medical Systems, Inc",181,0,181,,,"March 10, 2020",PMA P190024,547
2023-05948,,"9,029,140",Avita Medical Ltd,4455,4097,358,,,"September 20, 2018",the biologic device marketing application (BP) for RECELL AUTOLOGOUS CELL HARVESTING DEVICE (BP170122),793
2023-06580,,"8,377,138","Spinal Kinetics, Inc",64081,3617,464,,,"February 6, 2019",the premarket approval application (PMA) for M6-C ARTIFICIAL CERVICAL DISC (PMA 170036),
2023-09891,,"10,383,961","Somscan APS, and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration",989,744,245,,,"September 3, 2020",the new drug application (NDA) for Detectnet (NDA 213227),312
2023-10316,,"8,383,596","Achaogen, Inc",3447,3203,244,"January 18, 2009",,"June 25, 2018",the date the investigational new drug application became effective,389
2023-10295,,,Ablynx N,2998,2752,246,"November 24, 2010",,"February 6, 2019",the date the investigational new drug application became effective,
2023-10317,,,"Alnylam Pharmaceuticals, Inc",1901,1658,243,,,"August 10, 2018",the new drug application (NDA) for Onpattro (NDA 210922),
2023-10297,,,"INTACT VASCULAR, INC",61338,1114,224,,,"April 11, 2019","the date the investigational device exemption (IDE) for human tests to begin, as required under section 520(g) of the FD&C Act, became effective August 14, 2015.
                

                    2. 
                    The date an application",
2023-10979,,,,2494,2128,366,,,,,
2023-16614,,,"Intrinsic Therapeutics, Inc",2980,2163,817,,,"February 8, 2019","the date the first clinical investigation in human subjects involving the BARRICAID ANULAR CLOSURE DEVICE as part of a clinical investigation filed with FDA to secure premarket approval of the device began December 14, 2010.
                

                    2. 
                    The date an application",
2023-16607,,"8,486,975",Merck Canada Inc,2108062549,2237,312,,,"August 30, 2018",the new drug application (NDA) for PIFELTRO—NDA 210806,
2023-16606,,"8,486,975",Merck Canada Inc,2108072549,2237,312,,,"August 30, 2018",the new drug application (NDA) for DELSTRIGO (NDA 210807),328
2023-16610,,"8,321,025",Boston Scientific Neuromodulation Corp,393,0,393,,,"January 18, 2019",the premarket approval application (PMA) for VERCISE DBS SYSTEM (PMA P150031 Supplement 002 (S002)),392
2023-17259,,"8,606,362","Boston Scientific Neuromodulation Corporation, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",274,0,54617274,,,"January 21, 2021",the premarket approval application (PMA) for VERCISE GENUS DBS SYSTEM,273
2023-24124,,"9,566,260",Children's Medical Center Corporation and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration,4246,4007,239,"December 13, 2006",,"July 27, 2018",the date the investigational new drug application became effective,383
2023-25489,,,"Genentech, Inc",1968,,,,,,,
2023-26106,,"7,402,564","Cara Therapeutics, Inc",4625,4381,244,,,"August 23, 2021",the new drug application (NDA) for Korsuva (NDA 214916),1827
2023-26099,,,"ChemoCentryx, Inc",2642,2184,458,"July 16, 2014",,"October 7, 2021",the date the investigational new drug application became effective,
2023-26098,,,"GI Therapeutics, Inc",2081,1838,243,"June 5, 2015",,"February 12, 2021",the date the investigational new drug application became effective,
2023-26097,,"8,481,573",Scripps Research Institute and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration,3383,3016,367,,,"March 25, 2020",the new drug application (NDA) for Zeposia (NDA 209899),1410
2023-26247,,"7,332,472",Aurinia Pharmaceuticals Inc,7584,7338,246,"April 20, 2000",,"January 22, 2021",the date the investigational new drug application became effective,
2023-26258,,,"Myovant Sciences on behalf of Takeda Pharmaceutical Company Limited, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",4875,4632,243,"August 16, 2007",,"December 18, 2020",the date the investigational new drug application became effective,
2023-26251,,"8,436,180",Bayer Intellectual Property GmbH and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration,2950,2707,243,"June 13, 2013",,"July 9, 2021",the date the investigational new drug application became effective,1597
2023-26255,,,"Apellis Pharmaceuticals, Inc",2501,2258,243,"July 11, 2014",,"May 14, 2021",the date the investigational new drug application became effective,
2023-26253,,,"Trevena, Inc",3206,2112,1094,,,"August 7, 2020, and the date of issuance of the interim final rule controlling the drug under section 201(j) of the Controlled Substances Act was October 30, 2020",the new drug application (NDA) for Olinvyk (NDA 210730),
2023-26261,,,"Progenics Pharmaceuticals, Inc",2681,834092441,240,,,"May 26, 2021",the new drug application (NDA) for PYLARIFY (NDA 214793),
2023-26246,,"9,079,928","KemPharm, Inc",1676,1244,432,,,"March 2, 2021; however, the Drug Enforcement Agency issued an interim final rule controlling the product under section 201(j) of the Controlled Substances Act on May 7, 2021",the new drug application (NDA) for Azstarys (NDA 212994),948
2023-26256,,,Array BioPharma Inc,4653,4533,120,"July 24, 2007",,"April 17, 2020",NDA 213411,
2023-26260,,"10,442,847","Zealand Pharma A/S, and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration",1734,1373,361,,,"March 22, 2021",the new drug application (NDA) for ZEGALOGUE (NDA 214231),47
2023-26301,,,"Supernus Pharmaceuticals, Inc",4328,3816,512,"May 29, 2009",,"April 2, 2021",the date the investigational new drug application became effective,
2023-26324,,,AstraZeneca AB and Array BioPharma Inc,5100,4889,211,"April 26, 2006",,"April 10, 2020",the date the investigational new drug application became effective,
2023-26358,,"8,357,693","Kadmon Pharmaceuticals, LLC (agent for Surface Logix, LLC), and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration",4327,4037,290,,,"July 16, 2021",the new drug application (NDA) for Rezurock (NDA 214783),1154
2023-26303,,,"Rhizen Pharmaceuticals SA, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",2963,2727,236,"December 28, 2012",,"February 5, 2021",the date the investigational new drug application became effective,
2023-26299,,,"The University of Western Australia, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",452412,2166,246,"July 22, 2014",,"February 25, 2021",the date the investigational new drug application became effective,
2023-26363,,"7,553,828","Paratek Pharmaceuticals, Inc",2098174361,4118,243,,,"October 2, 2018",the NDA for Nuzyra Injection (NDA 209817),1812
2023-26885,,"8,552,002","QED Therapeutics, Inc",4258,4016,242,"October 2, 2009",,"May 28, 2021",the date the investigational new drug application became effective,1516
2023-26992,,,"Genmab A/S, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",2959,2736,223,,,"September 20, 2021",the biologics license application (BLA) for Tivdak (BLA B761208),
2023-26996,,,Incyte Corp,1971,1770,201,"November 26, 2014",,"April 17, 2020",the date the investigational new drug application became effective,
2023-27004,,,Takeda Pharmaceutical Company Limited and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration,2059,1857,202,"January 28, 2016",,"September 15, 2021",the date the investigational new drug application became effective,
2023-26997,,,"AVEO Pharmaceuticals, Inc",5035,4690,345,"May 30, 2007",,"March 10, 2021",the date the investigational new drug application became effective,1826
2023-26988,,"7,732,430",Mayne Pharma LLC and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration,1732,1366,366,"July 20, 2016",,"April 15, 2021",the date the investigational new drug application became effective,1048
2023-26982,,"9,931,414",ADC Therapeutics S,1969,1754,215,"December 4, 2015",,"April 23, 2021",the date the investigational new drug application became effective,559
2023-27003,,"8,318,706","Paratek Pharmaceuticals, Inc",2946,2599,347,,,"October 1, 2018",the new drug application (NDA) for SEYSARA (NDA 209521),1227
2023-27012,,"7,772,243",Warner-Lambert Co,4794,4554,240,,,"September 27, 2018",the new drug application (NDA) for VIZIMPRO (NDA 211288),1493
2023-27013,,"9,079,934",Nippon Shinyaku Co,1573,1255,318,,,"August 12, 2020",NDA 212154,1077
2023-26989,,"9,265,740","Paratek Pharmaceuticals, Inc",2098164361,4118,243,,,"October 2, 2018",the NDA for Nuzyra Tablets (NDA 209816),597
2023-27044,,,"Peloton Therapeutics, Inc, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",1752,1541,211,"October 28, 2016",,"August 13, 2021",the date the investigational new drug application became effective,
2023-28094,,,Alkermes Inc,4564,4003,561,"November 30, 2008",,"May 28, 2021",the date the investigational new drug application became effective,
2023-28233,,"9,505,838","Eli Lilly and Company, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2738,2372,366,"April 1, 2011",,"September 27, 2018",the date the investigational new drug application became effective,403
2023-28244,,"8,193,182","Verastem, Inc",2596,2364,232,,,"September 24, 2018",the new drug application (NDA) for Copiktra (NDA 211155),954
2023-28509,,RE43728,Actelion Pharmaceuticals Ltd,4459,4092,367,"January 4, 2009",,"March 18, 2021",the date the investigational new drug application became effective,
2023-28507,,"9,061,057","Purdue Research Foundation, and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration",2610,2274,336,,,"November 29, 2021",the new drug application (NDA) for CYTALUX (NDA 214907),825
2023-28511,,,"the Government of the United States of America as represented by the Department of Health and Human Services; the Regents of the University of Michigan; Progeria Research Foundation, Inc",5023,4777,246,"February 21, 2007",,"November 20, 2020",the date the investigational new drug application became effective,
2023-28519,,"8,829,195","Novartis AG, and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration",2845,2717,128,,,"October 29, 2021",the new drug application (NDA) for SCEMBLIX (NDA 215358),899
2024-01439,,"8,410,103",ViiV Healthcare Company and Shionogi & Co,4719,4085,634,"February 22, 2008",,"January 21, 2021",the date the investigational new drug application became effective,1742
2024-01438,,"8,410,103",ViiV Healthcare Company and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration,4719,4085,634,"February 22, 2008",,"January 21, 2021",the date the investigational new drug application became effective,1742
2024-03031,,,"Ascendis Pharma Endocrinology Division A/S, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2133,1706,427,"October 25, 2015",,"August 25, 2021",the date the investigational new drug application became effective,
2024-03019,,,Merck Sharp & Dohme Corp,3374,3130,244,"July 5, 2012
                

                    2",,"September 28, 2021",the date the investigational new drug application became effective,
2024-03030,,"8,012,489",Merck Sharp & Dohme Corp,1941,1783,158,,,"December 19, 2019",the biologics license application (BLA) for ERVEBO (BLA 125690),1038
2024-03022,,,Cassiopea S,3102,2736,366,"March 1, 2012",,"August 26, 2020",the date the investigational new drug application became effective,
2024-03025,,"9,522,274","MicroTransponder, Inc",2719,2540,179,,,"August 27, 2021","the date the investigational device exemption for human tests to begin, as required under section 520(g) of the FD&C Act, became effective March 20, 2014.
                

                    2. 
                    The date an application",1359
2024-03026,,,"Mainstay Medical Limited, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",81729,1436,293,,,"June 16, 2020","the date the investigational device exemption for human tests to begin, as required under section 520(g) of the FD&C Act, became effective September 24, 2015.
                

                    2. 
                    The date an application",
2024-03024,,,Simplify Medical Pty Ltd,2020,1842,178,,,"September 18, 2020","the date the investigational device exemption for human tests to begin, as required under section 520(g) of the FD&C Act, became effective March 11, 2015.
                

                    2. 
                    The date an application",
2024-03028,,"7,651,835","TransMedics, Inc",5518,4535,983,,,"September 3, 2021","the date the investigational device exemption for human tests to begin, as required under section 520(g) of the FD&C Act, became effective July 28, 2006.
                

                    2. 
                    The date an application",1826
2024-03034,,"10,076,112","TransMedics, Inc",2275,1819,456,,,"September 28, 2021","the date the investigational device exemption for human tests to begin, as required under section 520(g) of the FD&C Act, became effective July 9, 2015.
                

                    2. 
                    The date an application",72
2024-03029,,,St,3028,2288,740,,,"September 17, 2021","the date the investigational device exemption for human tests to begin, as required under section 520(g) of the FD&C Act, became effective June 5, 2013.
                

                    2. 
                    The date an application",
2024-03032,,,"Intact Vascular, Inc",415451203,1010,193,,,"April 10, 2020",PMA P190027,
2024-03961,,"9,593,164","Janssen Biotech, Inc",1284,1105,179,,,"May 21, 2021",the biologics license application (BLA) for Rybrevant (BLA B761210),546
2024-04226,,"7,504,095","Origin Biosciences, Inc",2815,2572,243,"June 15, 2013",,"February 26, 2021",the date the investigational new drug application became effective,1529
2024-04231,,,"Recordati AG, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",4393,4026,367,,,"March 6, 2020",the new drug application (NDA) for ISTURISA (NDA 212801),
2024-04219,,,"Bristol-Myers Squibb Company, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",3110,2867,243,"September 13, 2013",,"March 18, 2022",the date the investigational new drug application became effective,552
2024-04157,,"9,474,780","Eli Lilly and Company, and the USPTO requested FDA's assistance in determining the patent's eligibility for patent term restoration",2208,1967,241,"April 28, 2016",,"May 13, 2022",the date the investigational new drug application became effective,129
2024-04208,,"8,779,109","Novo Nordisk Health Care AG, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2200,1833,367,"August 22, 2014",,"August 28, 2020",the date the investigational new drug application became effective,1284
2024-04232,,,Athenex Inc,4899,4548,351,"July 19, 2007",,"December 14, 2020",the date the investigational new drug application became effective,
2024-04205,,"9,303,051","Chimerix, Inc",5463,5222,241,"June 22, 2006",,"June 4, 2021",the date the investigational new drug application became effective,1064
2024-04203,,,AstraZeneca AB (agent of E,4578,4213,365,"January 18, 2009",,"July 30, 2021",the date the investigational new drug application became effective,
2024-04207,,"9,018,356","Regeneron, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",3002,2756,246,"November 25, 2012",,"February 11, 2021",the date the investigational new drug application became effective,972
2024-04162,,,CTI BioPharma Corp,5138,4802,336,"February 6, 2008",,"February 28, 2022",the date the investigational new drug application became effective,
2024-04214,,,"University of Zurich, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",3689,3353,336,"May 4, 2011",,"June 7, 2021",the date the investigational new drug application became effective,634
2024-04156,,"9,918,984","Xeris Pharmaceuticals, Inc",5812,5507,305,,,"December 30, 2021",the new drug application (NDA) for RECORLEV (NDA 214133),844
2024-04224,,,"Gilead Sciences, Inc",1904,1827,77,"August 8, 2015",,"October 22, 2020",the date the investigational new drug application became effective,
2024-04217,,"9,586,955","Genentech, Inc",1368,1049,319,"November 10, 2016",,"August 7, 2020",the date the investigational new drug application became effective,
2024-04150,,"8,188,085","Scynexis, Inc",4130,3886,244,"February 11, 2010",,"June 1, 2021",the date the investigational new drug application became effective,1768
2024-04165,,,"Myokardia, Inc",2723,2266,457,"November 16, 2014",,"April 28, 2022",the date the investigational new drug application became effective,
2024-04221,,,"Urovant Sciences GmbH, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",3953,3589,364,"February 28, 2010",,"December 23, 2020",the date the investigational new drug application became effective,
2024-04227,,"8,906,887","Tetraphase Pharmaceutical, Inc",3265,3022,243,,,"August 27, 2018",the new drug application (NDA) for XERAVA (NDA 211109),608
2024-04218,,,Foresee Pharmaceutials Co,2569,2266,303,,,"May 25, 2021",the new drug application (NDA) for CAMCEVI (NDA 211488),
